,,,,,,,,
,mod 名,カテゴリ1,カテゴリ2,確定,備考,url,列 1,列 2
,Regions Unexplored,バイオーム系,,☆,,https://www.curseforge.com/minecraft/mc-mods/regions-unexplored,,207
,TerraBlender,バイオーム系,,☆,,https://www.curseforge.com/minecraft/mc-mods/terrablender,,208
,Terralith,バイオーム系,,☆,,https://www.curseforge.com/minecraft/mc-mods/terralith,,209
,Tectonic,バイオーム系,,☆,,https://www.curseforge.com/minecraft/mc-mods/tectonic,,210
,Alex's Caves,地形生成系,,☆,,https://www.curseforge.com/minecraft/mc-mods/alexs-caves,,211
,MSS - Moog's Soaring Structures,地形生成系,,☆,,https://www.curseforge.com/minecraft/mc-mods/mss-moogs-soaring-structures,,212
,YUNG's API,拡張,,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-api,,68
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,,69
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-desert-temples,,70
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-end-island,,71
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-mineshafts-forge,,72
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses,,73
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments,,74
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-witch-huts,,75
,┗ ,ダンジョン,拡張,☆,YUNG シリーズ,https://www.curseforge.com/minecraft/mc-mods/yungs-better-jungle-temples,,76
,Towns and Towers,ダンジョン,,☆,,https://www.curseforge.com/minecraft/mc-mods/towns-and-towers,,213
,Repurposed Structures,ダンジョン,,☆,,https://www.curseforge.com/minecraft/mc-mods/repurposed-structures,,214
,The Lost Cities,ダンジョン,,☆,,https://www.curseforge.com/minecraft/mc-mods/the-lost-cities,,215
,Dungeons Enhanced,ダンジョン,,☆,,https://www.curseforge.com/minecraft/mc-mods/dungeonsenhanced,,216
,The Lost Castle,ダンジョン,,☆,お城追加,https://www.curseforge.com/minecraft/mc-mods/the-lost-castle,,77
,When Dungeons Arise,ダンジョン,,☆,ダンジョンくそほど追加されるやつ,https://www.curseforge.com/minecraft/mc-mods/when-dungeons-arise,,78
